k,t,x
2,0.511905,2.24744
2,0.515873,2.24863
2,0.519841,2.24669
2,0.52381,2.24369
2,0.527778,2.24058
2,0.531746,2.23742
2,0.535714,2.24931
2,0.539683,2.24622
2,0.543651,2.24324
2,0.547619,2.25702
2,0.551587,2.25654
2,0.555556,2.29064
2,0.559524,2.29242
2,0.563492,2.30248
2,0.56746,2.32979
2,0.571429,2.35707
2,0.575397,2.35979
2,0.579365,2.35861
2,0.583333,2.37593
2,0.587302,2.37235
2,0.59127,2.36844
2,0.595238,2.36728
2,0.599206,2.37737
2,0.603175,2.37332
2,0.607143,2.37571
2,0.611111,2.37203
2,0.615079,2.37155
2,0.619048,2.37154
2,0.623016,2.36925
2,0.626984,2.36584
2,0.630952,2.38926
2,0.634921,2.40941
2,0.638889,2.42798
2,0.642857,2.42425
2,0.646825,2.44392
2,0.650794,2.43945
2,0.654762,2.44223
2,0.65873,2.43771
2,0.662698,2.43337
2,0.666667,2.42951
2,0.670635,2.43074
2,0.674603,2.42724
2,0.678571,2.42253
2,0.68254,2.42413
2,0.686508,2.42297
2,0.690476,2.43488
2,0.694444,2.43061
2,0.698413,2.42633
2,0.702381,2.42159
2,0.706349,2.41701
2,0.710317,2.4121
2,0.714286,2.40723
2,0.718254,2.42318
2,0.722222,2.41856
2,0.72619,2.41375
2,0.730159,2.40883
2,0.734127,2.41
2,0.738095,2.40508
2,0.742063,2.40824
2,0.746032,2.40674
2,0.75,2.45411
2,0.753968,2.44872
2,0.757937,2.44364
2,0.761905,2.43891
2,0.765873,2.45097
2,0.769841,2.46397
2,0.77381,2.45879
2,0.777778,2.45861
2,0.781746,2.46508
2,0.785714,2.46714
2,0.789683,2.46159
2,0.793651,2.47115
2,0.797619,2.46573
2,0.801587,2.46028
2,0.805556,2.45738
2,0.809524,2.45243
2,0.813492,2.45071
2,0.81746,2.44599
2,0.821429,2.45954
2,0.825397,2.47453
2,0.829365,2.49264
2,0.833333,2.4942
2,0.837302,2.50091
2,0.84127,2.49921
2,0.845238,2.49761
2,0.849206,2.49439
2,0.853175,2.48783
2,0.857143,2.49121
2,0.861111,2.49985
2,0.865079,2.49727
2,0.869048,2.49216
2,0.873016,2.48531
2,0.876984,2.49223
2,0.880952,2.48536
2,0.884921,2.47844
2,0.888889,2.47381
2,0.892857,2.46708
2,0.896825,2.46265
2,0.900794,2.47089
2,0.904762,2.47017
2,0.90873,2.4672
2,0.912698,2.46529
2,0.916667,2.45897
2,0.920635,2.45803
2,0.924603,2.4582
2,0.928571,2.4548
2,0.93254,2.44764
2,0.936508,2.44212
2,0.940476,2.43552
2,0.944444,2.431
2,0.948413,2.44413
2,0.952381,2.45428
2,0.956349,2.46887
2,0.960317,2.47493
2,0.964286,2.47018
2,0.968254,2.4734
2,0.972222,2.46555
2,0.97619,2.46495
2,0.980159,2.46593
2,0.984127,2.46705
2,0.988095,2.47607
2,0.992063,2.46879
2,0.996032,2.46704
2,1,2.46225
