k,ρ^2,θ3,Error
244,23.04,0.847562,0.963213
245,23.04,0.847158,0.963231
246,23.04,0.846722,0.96325
247,23.04,0.846314,0.963268
248,23.04,0.845879,0.963287
249,23.04,0.845454,0.963305
250,23.04,0.845021,0.963324
251,23.04,0.844592,0.963342
252,23.04,0.844174,0.963361
253,23.04,0.843758,0.963379
254,23.04,0.843365,0.963396
255,23.04,0.842951,0.963414
256,23.04,0.842551,0.963431
257,23.04,0.842148,0.963448
258,23.04,0.84173,0.963467
259,23.04,0.841318,0.963484
260,23.04,0.840895,0.963503
261,23.04,0.840461,0.963522
262,23.04,0.84004,0.96354
263,23.04,0.839642,0.963557
264,23.04,0.83924,0.963575
265,23.04,0.838858,0.963591
266,23.04,0.838454,0.963609
267,23.04,0.838061,0.963626
268,23.04,0.837645,0.963644
269,23.04,0.837226,0.963662
270,23.04,0.83683,0.963679
271,23.04,0.836429,0.963697
272,23.04,0.836042,0.963713
273,23.04,0.835674,0.963729
274,23.04,0.835279,0.963747
275,23.04,0.834883,0.963764
276,23.04,0.834486,0.963781
277,23.04,0.834112,0.963797
278,23.04,0.833712,0.963815
279,23.04,0.833307,0.963832
280,23.04,0.832896,0.96385
281,23.04,0.832519,0.963866
282,23.04,0.832183,0.963881
283,23.04,0.831784,0.963898
284,23.04,0.831417,0.963914
285,23.04,0.83102,0.963931
286,23.04,0.830635,0.963948
287,23.04,0.83026,0.963964
288,23.04,0.829888,0.963981
289,23.04,0.829519,0.963997
290,23.04,0.829129,0.964013
291,23.04,0.828751,0.96403
292,23.04,0.828368,0.964047
293,23.04,0.828003,0.964062
294,23.04,0.827642,0.964078
295,23.04,0.82728,0.964094
296,23.04,0.826913,0.96411
297,23.04,0.826526,0.964126
298,23.04,0.826189,0.964141
299,23.04,0.825817,0.964157
300,23.04,0.82545,0.964173
301,23.04,0.825078,0.964189
302,23.04,0.824733,0.964204
303,23.04,0.824363,0.96422
304,23.04,0.824018,0.964235
305,23.04,0.823678,0.96425
306,23.04,0.823313,0.964266
307,23.04,0.822956,0.964281
308,23.04,0.822601,0.964297
309,23.04,0.822231,0.964313
310,23.04,0.821872,0.964328
311,23.04,0.821509,0.964344
312,23.04,0.821164,0.964359
313,23.04,0.820821,0.964374
314,23.04,0.82048,0.964389
315,23.04,0.820128,0.964404
316,23.04,0.819826,0.964417
317,23.04,0.819505,0.964431
318,23.04,0.81915,0.964447
319,23.04,0.818847,0.96446
320,23.04,0.81853,0.964474
321,23.04,0.818214,0.964487
322,23.04,0.817885,0.964502
323,23.04,0.817523,0.964517
324,23.04,0.81723,0.96453
325,23.04,0.816912,0.964544
326,23.04,0.816619,0.964556
327,23.04,0.816288,0.964571
328,23.04,0.815995,0.964584
329,23.04,0.815649,0.964599
330,23.04,0.815355,0.964611
331,23.04,0.815039,0.964625
332,23.04,0.814725,0.964639
333,23.04,0.814408,0.964652
334,23.04,0.814121,0.964665
335,23.04,0.81379,0.964679
336,23.04,0.813488,0.964692
337,23.04,0.813168,0.964706
338,23.04,0.812853,0.96472
339,23.04,0.812523,0.964734
340,23.04,0.812239,0.964747
341,23.04,0.811924,0.96476
342,23.04,0.811652,0.964772
343,23.04,0.811368,0.964784
344,23.04,0.811058,0.964798
345,23.04,0.810785,0.96481
346,23.04,0.810504,0.964822
347,23.04,0.810209,0.964835
348,23.04,0.809944,0.964846
349,23.04,0.809616,0.96486
350,23.04,0.809354,0.964872
351,23.04,0.809063,0.964884
352,23.04,0.808772,0.964897
353,23.04,0.808458,0.964911
354,23.04,0.808184,0.964923
355,23.04,0.807926,0.964934
356,23.04,0.807634,0.964946
357,23.04,0.807354,0.964959
358,23.04,0.807071,0.964971
359,23.04,0.806775,0.964984
360,23.04,0.806492,0.964996
361,23.04,0.806188,0.965009
362,23.04,0.805976,0.965018
363,23.04,0.805684,0.965031
364,23.04,0.805455,0.965041
365,23.04,0.805163,0.965054
366,23.04,0.80491,0.965065
367,23.04,0.804664,0.965075
368,23.04,0.804378,0.965088
369,23.04,0.804052,0.965102
370,23.04,0.803791,0.965113
371,23.04,0.803511,0.965125
372,23.04,0.80323,0.965138
373,23.04,0.802947,0.96515
374,23.04,0.802698,0.965161
375,23.04,0.802451,0.965171
376,23.04,0.802249,0.96518
377,23.04,0.801975,0.965192
378,23.04,0.801691,0.965204
379,23.04,0.801407,0.965217
380,23.04,0.801089,0.965231
381,23.04,0.800831,0.965242
382,23.04,0.800562,0.965253
383,23.04,0.80037,0.965262
384,23.04,0.80015,0.965271
385,23.04,0.799915,0.965281
386,23.04,0.799684,0.965292
387,23.04,0.799427,0.965303
388,23.04,0.799234,0.965311
389,23.04,0.798972,0.965322
390,23.04,0.798759,0.965332
391,23.04,0.798558,0.96534
392,23.04,0.798296,0.965352
393,23.04,0.798076,0.965361
394,23.04,0.79784,0.965372
395,23.04,0.797547,0.965384
396,23.04,0.797353,0.965393
397,23.04,0.797203,0.965399
398,23.04,0.79698,0.965409
399,23.04,0.796704,0.965421
400,23.04,0.79647,0.965431
401,23.04,0.796235,0.965441
402,23.04,0.796011,0.965451
403,23.04,0.795771,0.965461
404,23.04,0.795582,0.96547
405,23.04,0.79543,0.965476
406,23.04,0.795253,0.965484
407,23.04,0.795117,0.96549
408,23.04,0.794879,0.9655
409,23.04,0.794646,0.96551
410,23.04,0.794485,0.965517
411,23.04,0.794266,0.965527
412,23.04,0.79408,0.965535
413,23.04,0.793836,0.965545
414,23.04,0.793693,0.965552
415,23.04,0.793466,0.965561
416,23.04,0.793233,0.965571
417,23.04,0.793041,0.96558
418,23.04,0.792806,0.96559
419,23.04,0.792562,0.965601
420,23.04,0.792335,0.96561
421,23.04,0.792161,0.965618
422,23.04,0.791987,0.965626
423,23.04,0.79184,0.965632
424,23.04,0.791633,0.965641
425,23.04,0.791465,0.965648
426,23.04,0.791255,0.965657
427,23.04,0.791093,0.965664
428,23.04,0.790906,0.965672
429,23.04,0.790714,0.965681
430,23.04,0.790543,0.965688
431,23.04,0.790362,0.965696
432,23.04,0.790178,0.965704
433,23.04,0.789978,0.965713
434,23.04,0.789842,0.965719
435,23.04,0.789705,0.965725
436,23.04,0.789533,0.965732
437,23.04,0.789367,0.965739
438,23.04,0.789124,0.96575
439,23.04,0.78896,0.965757
440,23.04,0.788742,0.965766
441,23.04,0.78859,0.965773
442,23.04,0.788436,0.96578
443,23.04,0.788238,0.965788
444,23.04,0.788051,0.965796
445,23.04,0.787865,0.965804
446,23.04,0.787683,0.965812
447,23.04,0.787636,0.965814
448,23.04,0.787469,0.965822
449,23.04,0.787336,0.965827
450,23.04,0.787138,0.965836
451,23.04,0.786964,0.965844
452,23.04,0.786801,0.965851
453,23.04,0.786655,0.965857
454,23.04,0.786471,0.965865
455,23.04,0.786266,0.965874
456,23.04,0.786144,0.965879
457,23.04,0.785925,0.965889
458,23.04,0.785822,0.965893
459,23.04,0.785704,0.965898
460,23.04,0.78554,0.965905
461,23.04,0.785333,0.965914
462,23.04,0.785215,0.965919
463,23.04,0.785092,0.965925
464,23.04,0.784878,0.965934
465,23.04,0.784742,0.96594
466,23.04,0.784611,0.965946
467,23.04,0.784496,0.965951
468,23.04,0.784367,0.965956
469,23.04,0.784231,0.965962
470,23.04,0.784045,0.96597
471,23.04,0.783934,0.965975
472,23.04,0.783808,0.965981
473,23.04,0.783723,0.965984
474,23.04,0.783579,0.965991
475,23.04,0.783473,0.965995
476,23.04,0.78335,0.966
477,23.04,0.783221,0.966006
478,23.04,0.782988,0.966016
479,23.04,0.782845,0.966022
480,23.04,0.782755,0.966026
481,23.04,0.782625,0.966032
482,23.04,0.78245,0.966039
483,23.04,0.782371,0.966043
484,23.04,0.782305,0.966046
485,23.04,0.782284,0.966047
486,23.04,0.782237,0.966049
487,23.04,0.782129,0.966053
488,23.04,0.782044,0.966057
489,23.04,0.781912,0.966063
490,23.04,0.78177,0.966069
491,23.04,0.781642,0.966075
492,23.04,0.781514,0.96608
493,23.04,0.781498,0.966081
494,23.04,0.781441,0.966083
495,23.04,0.781355,0.966087
496,23.04,0.781277,0.96609
497,23.04,0.781338,0.966088
498,23.04,0.781341,0.966088
499,23.04,0.781262,0.966091
500,23.04,0.781142,0.966096
501,23.04,0.781074,0.966099
502,23.04,0.780954,0.966104
503,23.04,0.780961,0.966104
504,23.04,0.780841,0.966109
505,23.04,0.780713,0.966115
506,23.04,0.780694,0.966116
507,23.04,0.780612,0.966119
508,23.04,0.780523,0.966123
509,23.04,0.780355,0.96613
510,23.04,0.780313,0.966132
511,23.04,0.780369,0.96613
512,23.04,0.780249,0.966135
513,23.04,0.780216,0.966136
514,23.04,0.780183,0.966138
515,23.04,0.780145,0.96614
516,23.04,0.780146,0.96614
517,23.04,0.780018,0.966145
518,23.04,0.779901,0.96615
519,23.04,0.779795,0.966155
520,23.04,0.779728,0.966158
521,23.04,0.779666,0.96616
522,23.04,0.779695,0.966159
523,23.04,0.779556,0.966165
524,23.04,0.779488,0.966168
525,23.04,0.779499,0.966168
526,23.04,0.779382,0.966173
527,23.04,0.779326,0.966175
528,23.04,0.779359,0.966174
529,23.04,0.779294,0.966176
530,23.04,0.779243,0.966179
531,23.04,0.779148,0.966183
532,23.04,0.779181,0.966181
533,23.04,0.779181,0.966181
534,23.04,0.779197,0.966181
535,23.04,0.779278,0.966177
536,23.04,0.779347,0.966174
537,23.04,0.779323,0.966175
538,23.04,0.779298,0.966176
539,23.04,0.779327,0.966175
540,23.04,0.7793,0.966176
541,23.04,0.779308,0.966176
542,23.04,0.779241,0.966179
543,23.04,0.779319,0.966175
544,23.04,0.779296,0.966176
545,23.04,0.779309,0.966176
546,23.04,0.779229,0.966179
547,23.04,0.779131,0.966184
548,23.04,0.779016,0.966189
549,23.04,0.77903,0.966188
550,23.04,0.779081,0.966186
551,23.04,0.77921,0.96618
552,23.04,0.77924,0.966179
553,23.04,0.7793,0.966176
554,23.04,0.779482,0.966168
555,23.04,0.779516,0.966167
556,23.04,0.77957,0.966165
557,23.04,0.779457,0.966169
558,23.04,0.779522,0.966167
559,23.04,0.779516,0.966167
560,23.04,0.779547,0.966166
561,23.04,0.779544,0.966166
