Date,Open,High,Low,Close,Adj Close,Volume
2020-09-29,1.890000,1.900000,1.840000,1.840000,1.840000,8872200
2020-09-30,1.870000,1.900000,1.850000,1.850000,1.850000,6831900
2020-10-01,1.860000,1.880000,1.830000,1.850000,1.850000,11929800
2020-10-02,1.810000,1.880000,1.810000,1.870000,1.870000,6776100
2020-10-05,1.880000,1.920000,1.880000,1.900000,1.900000,7027500
2020-10-06,2.030000,2.040000,1.960000,1.960000,1.960000,11722900
2020-10-07,1.990000,2.010000,1.980000,1.980000,1.980000,4722800
2020-10-08,2.020000,2.030000,2.000000,2.020000,2.020000,4362100
2020-10-09,2.040000,2.040000,1.990000,1.990000,1.990000,7477800
2020-10-12,1.980000,1.980000,1.960000,1.970000,1.970000,3697100
2020-10-13,1.950000,1.960000,1.880000,1.890000,1.890000,6756300
2020-10-14,1.910000,1.930000,1.880000,1.890000,1.890000,3926800
2020-10-15,1.850000,1.890000,1.840000,1.880000,1.880000,5810500
2020-10-16,1.900000,1.950000,1.890000,1.920000,1.920000,6837000
2020-10-19,1.930000,1.970000,1.910000,1.920000,1.920000,4621400
2020-10-20,2.010000,2.050000,1.990000,2.000000,2.000000,10402100
2020-10-21,2.010000,2.030000,1.980000,1.990000,1.990000,5325700
2020-10-22,1.980000,2.020000,1.970000,2.020000,2.020000,8345000
2020-10-23,2.070000,2.090000,2.040000,2.080000,2.080000,7998900
2020-10-26,2.050000,2.070000,2.020000,2.060000,2.060000,7717500
2020-10-27,2.070000,2.100000,2.000000,2.000000,2.000000,8998700
2020-10-28,1.950000,1.980000,1.910000,1.910000,1.910000,8230400
2020-10-29,1.930000,1.990000,1.910000,1.960000,1.960000,8128400
2020-10-30,1.990000,2.020000,1.980000,2.010000,2.010000,6883800
2020-11-02,2.060000,2.100000,2.030000,2.090000,2.090000,9431600
2020-11-03,2.130000,2.180000,2.120000,2.170000,2.170000,9008500
2020-11-04,2.090000,2.110000,2.050000,2.060000,2.060000,6331900
2020-11-05,2.150000,2.180000,2.130000,2.160000,2.160000,7324000
2020-11-06,2.150000,2.160000,2.120000,2.140000,2.140000,5961500
2020-11-09,2.540000,2.550000,2.430000,2.500000,2.500000,28525700
2020-11-10,2.670000,2.720000,2.640000,2.690000,2.690000,28740100
2020-11-11,2.680000,2.750000,2.650000,2.710000,2.710000,25458000
2020-11-12,2.570000,2.590000,2.530000,2.550000,2.550000,17895000
2020-11-13,2.640000,2.680000,2.640000,2.670000,2.670000,11654000
2020-11-16,2.790000,2.790000,2.710000,2.750000,2.750000,12411800
2020-11-17,2.700000,2.790000,2.700000,2.770000,2.770000,9066900
2020-11-18,2.740000,2.780000,2.720000,2.720000,2.720000,6278200
2020-11-19,2.710000,2.780000,2.700000,2.770000,2.770000,6012700
2020-11-20,2.740000,2.750000,2.710000,2.740000,2.740000,7818900
2020-11-23,2.770000,2.780000,2.740000,2.750000,2.750000,10542100
2020-11-24,2.850000,2.940000,2.840000,2.930000,2.930000,10277400
2020-11-25,2.880000,2.910000,2.850000,2.910000,2.910000,4949200
2020-11-27,2.900000,2.930000,2.900000,2.910000,2.910000,4653700
2020-11-30,2.910000,2.920000,2.820000,2.820000,2.820000,9031600
2020-12-01,2.980000,3.070000,2.970000,3.060000,3.060000,16354500
2020-12-02,3.110000,3.220000,3.100000,3.200000,3.200000,15129000
2020-12-03,3.230000,3.280000,3.200000,3.210000,3.210000,9393700
2020-12-04,3.310000,3.420000,3.310000,3.400000,3.400000,19773600
2020-12-07,3.300000,3.310000,3.250000,3.270000,3.270000,8929400
2020-12-08,3.300000,3.340000,3.290000,3.310000,3.310000,7112000
2020-12-09,3.290000,3.310000,3.240000,3.290000,3.290000,7356000
2020-12-10,3.130000,3.210000,3.120000,3.180000,3.180000,8586100
2020-12-11,3.100000,3.130000,3.070000,3.090000,3.090000,13287400
2020-12-14,3.190000,3.210000,3.120000,3.130000,3.130000,6165300
2020-12-15,3.200000,3.280000,3.200000,3.200000,3.200000,13909500
2020-12-16,3.230000,3.240000,3.180000,3.210000,3.210000,8320400
2020-12-17,3.240000,3.260000,3.220000,3.230000,3.230000,5313100
2020-12-18,3.190000,3.200000,3.100000,3.120000,3.120000,11136600
2020-12-21,2.920000,3.020000,2.900000,3.010000,3.010000,15222600
2020-12-22,3.040000,3.070000,3.020000,3.040000,3.040000,5398800
2020-12-23,3.080000,3.180000,3.080000,3.150000,3.150000,7189400
2020-12-24,3.170000,3.200000,3.160000,3.190000,3.190000,2932600
2020-12-28,3.110000,3.160000,3.100000,3.140000,3.140000,4953900
2020-12-29,3.150000,3.170000,3.110000,3.120000,3.120000,5896000
2020-12-30,3.130000,3.170000,3.080000,3.100000,3.100000,6815500
2020-12-31,3.070000,3.090000,3.050000,3.050000,3.050000,3029900
2021-01-04,3.120000,3.130000,3.040000,3.070000,3.070000,8139200
2021-01-05,3.100000,3.160000,3.100000,3.140000,3.140000,7782400
2021-01-06,3.310000,3.400000,3.300000,3.360000,3.360000,15596500
2021-01-07,3.340000,3.400000,3.340000,3.360000,3.360000,6605600
2021-01-08,3.350000,3.390000,3.310000,3.370000,3.370000,14525600
2021-01-11,3.350000,3.440000,3.340000,3.420000,3.420000,13876800
2021-01-12,3.400000,3.470000,3.390000,3.460000,3.460000,11009200
2021-01-13,3.450000,3.460000,3.420000,3.420000,3.420000,6163000
2021-01-14,3.400000,3.430000,3.380000,3.420000,3.420000,6394900
2021-01-15,3.360000,3.370000,3.260000,3.290000,3.290000,5468100
2021-01-19,3.290000,3.290000,3.260000,3.290000,3.290000,5876100
2021-01-20,3.250000,3.270000,3.230000,3.270000,3.270000,4305900
2021-01-21,3.270000,3.290000,3.200000,3.230000,3.230000,5896800
2021-01-22,3.150000,3.170000,3.110000,3.140000,3.140000,5735500
2021-01-25,3.040000,3.070000,3.010000,3.060000,3.060000,5818800
2021-01-26,3.100000,3.130000,3.080000,3.090000,3.090000,5901700
2021-01-27,3.010000,3.020000,2.920000,2.930000,2.930000,6346200
2021-01-28,2.990000,3.060000,2.980000,3.010000,3.010000,4642200
2021-01-29,2.970000,2.990000,2.920000,2.930000,2.930000,6672400
2021-02-01,2.970000,2.970000,2.920000,2.950000,2.950000,4215200
2021-02-02,3.070000,3.090000,3.040000,3.090000,3.090000,7766400
2021-02-03,3.080000,3.130000,3.070000,3.130000,3.130000,5431000
2021-02-04,3.200000,3.250000,3.190000,3.220000,3.220000,4852700
2021-02-05,3.350000,3.360000,3.310000,3.350000,3.350000,6403300
2021-02-08,3.420000,3.450000,3.410000,3.440000,3.440000,6602500
2021-02-09,3.430000,3.450000,3.410000,3.450000,3.450000,4754500
2021-02-10,3.490000,3.500000,3.430000,3.440000,3.440000,5352900
2021-02-11,3.380000,3.440000,3.350000,3.430000,3.430000,9732100
2021-02-12,3.360000,3.410000,3.360000,3.410000,3.410000,3590800
2021-02-16,3.490000,3.560000,3.470000,3.560000,3.560000,11815200
2021-02-17,3.510000,3.530000,3.480000,3.520000,3.520000,13778900
2021-02-18,3.500000,3.520000,3.440000,3.510000,3.510000,8572300
2021-02-19,3.570000,3.650000,3.570000,3.640000,3.640000,16810700
2021-02-22,3.500000,3.560000,3.490000,3.530000,3.530000,10036800
2021-02-23,3.600000,3.620000,3.540000,3.600000,3.600000,7468900
2021-02-24,3.570000,3.610000,3.560000,3.600000,3.600000,4434100
2021-02-25,3.680000,3.700000,3.560000,3.560000,3.560000,9755600
2021-02-26,3.540000,3.560000,3.490000,3.510000,3.510000,10617300
2021-03-01,3.510000,3.560000,3.500000,3.530000,3.530000,6522100
2021-03-02,3.530000,3.550000,3.500000,3.530000,3.530000,6538000
2021-03-03,3.530000,3.590000,3.530000,3.560000,3.560000,9207000
2021-03-04,3.550000,3.590000,3.500000,3.530000,3.530000,9104300
2021-03-05,3.630000,3.690000,3.550000,3.680000,3.680000,10480800
2021-03-08,3.630000,3.660000,3.600000,3.640000,3.640000,7996100
2021-03-09,3.520000,3.590000,3.490000,3.550000,3.550000,8097300
2021-03-10,3.540000,3.580000,3.510000,3.570000,3.570000,4198700
2021-03-11,3.470000,3.530000,3.450000,3.510000,3.510000,3584800
2021-03-12,3.530000,3.600000,3.520000,3.600000,3.600000,5183400
2021-03-15,3.550000,3.570000,3.480000,3.540000,3.540000,4288500
2021-03-16,3.500000,3.510000,3.440000,3.490000,3.490000,4180600
2021-03-17,3.500000,3.530000,3.460000,3.500000,3.500000,3785300
2021-03-18,3.550000,3.620000,3.510000,3.520000,3.520000,7055300
2021-03-19,3.490000,3.500000,3.440000,3.470000,3.470000,6735600
2021-03-22,3.440000,3.440000,3.380000,3.430000,3.430000,5097600
2021-03-23,3.400000,3.430000,3.340000,3.360000,3.360000,5619900
2021-03-24,3.370000,3.420000,3.360000,3.370000,3.370000,4730100
2021-03-25,3.340000,3.400000,3.310000,3.390000,3.390000,5159600
2021-03-26,3.450000,3.490000,3.400000,3.460000,3.460000,6921400
2021-03-29,3.400000,3.440000,3.370000,3.410000,3.410000,4932000
2021-03-30,3.440000,3.480000,3.430000,3.470000,3.470000,3758400
2021-03-31,3.420000,3.450000,3.390000,3.430000,3.430000,5358100
2021-04-01,3.390000,3.430000,3.380000,3.420000,3.420000,2141100
2021-04-05,3.440000,3.490000,3.440000,3.470000,3.470000,2633000
2021-04-06,3.460000,3.490000,3.450000,3.480000,3.480000,3570900
2021-04-07,3.500000,3.540000,3.490000,3.540000,3.540000,3649300
2021-04-08,3.460000,3.510000,3.420000,3.510000,3.510000,3109300
2021-04-09,3.460000,3.490000,3.440000,3.460000,3.460000,7964600
2021-04-12,3.470000,3.500000,3.450000,3.470000,3.470000,3406600
2021-04-13,3.430000,3.460000,3.410000,3.440000,3.440000,3455000
2021-04-14,3.450000,3.500000,3.450000,3.480000,3.480000,3277200
2021-04-15,3.470000,3.470000,3.390000,3.430000,3.430000,4562200
2021-04-16,3.440000,3.470000,3.430000,3.460000,3.460000,2807400
2021-04-19,3.570000,3.590000,3.530000,3.540000,3.540000,7095200
2021-04-20,3.480000,3.490000,3.400000,3.420000,3.420000,7059700
2021-04-21,3.320000,3.400000,3.310000,3.390000,3.390000,4409000
2021-04-22,3.390000,3.410000,3.360000,3.370000,3.370000,3804400
2021-04-23,3.370000,3.440000,3.360000,3.430000,3.430000,3519200
2021-04-26,3.470000,3.500000,3.470000,3.490000,3.490000,2730000
2021-04-27,3.570000,3.660000,3.560000,3.660000,3.660000,7772500
2021-04-28,3.720000,3.780000,3.710000,3.780000,3.780000,8097400
2021-04-29,3.840000,3.860000,3.810000,3.840000,3.840000,7682300
2021-04-30,3.820000,3.840000,3.800000,3.810000,3.810000,4689000
2021-05-03,3.810000,3.830000,3.780000,3.810000,3.810000,5460700
2021-05-04,3.790000,3.820000,3.730000,3.790000,3.790000,7697500
2021-05-05,3.810000,3.860000,3.790000,3.840000,3.840000,6352200
2021-05-06,3.850000,3.890000,3.810000,3.880000,3.880000,4980800
2021-05-07,3.830000,3.930000,3.820000,3.910000,3.910000,5531600
2021-05-10,4.000000,4.040000,3.950000,3.960000,3.960000,6402400
2021-05-11,3.920000,3.960000,3.900000,3.930000,3.930000,5076300
2021-05-12,3.930000,3.980000,3.910000,3.940000,3.940000,12140400
2021-05-13,3.890000,3.980000,3.890000,3.960000,3.960000,4250300
2021-05-14,4.020000,4.100000,4.020000,4.100000,4.100000,3893900
2021-05-17,4.010000,4.080000,4.010000,4.060000,4.060000,4981300
2021-05-18,4.090000,4.120000,4.080000,4.090000,4.090000,4410600
2021-05-19,4.030000,4.060000,3.980000,4.040000,4.040000,4870300
2021-05-20,4.030000,4.070000,4.000000,4.050000,4.050000,3574500
2021-05-21,4.100000,4.120000,4.070000,4.110000,4.110000,3160700
2021-05-24,4.080000,4.110000,4.050000,4.090000,4.090000,3602500
2021-05-25,4.160000,4.170000,4.070000,4.090000,4.090000,5007300
2021-05-26,4.050000,4.110000,4.020000,4.090000,4.090000,3542700
2021-05-27,4.190000,4.220000,4.180000,4.220000,4.220000,5404600
2021-05-28,4.170000,4.210000,4.150000,4.210000,4.210000,2555100
2021-06-01,4.250000,4.270000,4.240000,4.260000,4.260000,3777300
2021-06-02,4.230000,4.260000,4.210000,4.250000,4.250000,6005100
2021-06-03,4.250000,4.290000,4.240000,4.280000,4.280000,3156200
2021-06-04,4.230000,4.240000,4.200000,4.230000,4.230000,1852500
2021-06-07,4.210000,4.250000,4.210000,4.240000,4.240000,2674000
2021-06-08,4.140000,4.180000,4.120000,4.160000,4.160000,2586000
2021-06-09,4.150000,4.380000,4.120000,4.200000,4.200000,35134600
2021-06-10,4.260000,4.290000,4.220000,4.240000,4.240000,21538900
2021-06-11,4.200000,4.240000,4.180000,4.220000,4.220000,6657000
2021-06-14,4.200000,4.240000,4.190000,4.210000,4.210000,3881000
2021-06-15,4.180000,4.230000,4.180000,4.210000,4.210000,4014800
2021-06-16,4.120000,4.170000,4.090000,4.120000,4.120000,6328100
2021-06-17,4.160000,4.160000,4.000000,4.030000,4.030000,7531900
2021-06-18,3.930000,3.960000,3.900000,3.940000,3.940000,8169400
2021-06-21,3.930000,4.000000,3.920000,3.960000,3.960000,7125500
2021-06-22,3.930000,3.980000,3.910000,3.980000,3.980000,3189800
2021-06-23,3.980000,4.000000,3.940000,3.950000,3.950000,4130800
2021-06-24,3.990000,4.050000,3.980000,4.040000,4.040000,3719100
2021-06-25,4.040000,4.060000,4.020000,4.060000,4.060000,3125700
2021-06-28,4.000000,4.000000,3.910000,3.960000,3.960000,10042500
2021-06-29,3.940000,3.970000,3.900000,3.930000,3.930000,4533600
2021-06-30,3.870000,3.910000,3.860000,3.910000,3.910000,5231500
2021-07-01,3.920000,3.960000,3.910000,3.960000,3.960000,3101800
2021-07-02,3.920000,3.920000,3.850000,3.860000,3.860000,3266500
2021-07-06,3.870000,3.870000,3.750000,3.760000,3.760000,6697400
2021-07-07,3.750000,3.770000,3.690000,3.740000,3.740000,5150400
2021-07-08,3.660000,3.680000,3.620000,3.640000,3.640000,5235300
2021-07-09,3.710000,3.790000,3.680000,3.770000,3.770000,4325200
2021-07-12,3.700000,3.790000,3.690000,3.760000,3.760000,2899200
2021-07-13,3.720000,3.730000,3.670000,3.680000,3.680000,4295100
2021-07-14,3.730000,3.770000,3.690000,3.720000,3.720000,2767300
2021-07-15,3.680000,3.750000,3.680000,3.700000,3.700000,5208400
2021-07-16,3.670000,3.690000,3.550000,3.580000,3.580000,10074500
2021-07-19,3.500000,3.530000,3.450000,3.460000,3.460000,8274600
2021-07-20,3.420000,3.520000,3.400000,3.500000,3.500000,5005600
2021-07-21,3.580000,3.680000,3.580000,3.640000,3.640000,4206800
2021-07-22,3.690000,3.700000,3.620000,3.620000,3.620000,4698200
2021-07-23,3.730000,3.750000,3.670000,3.670000,3.670000,3380200
